	GeneID	Chr	Symbol	NExons	P.Value	FDR
212912	67469	9	Abhd5	7	0.972745670574483	1
42182	104721	12	Ddx1	26	0.972746218786096	1
99159	396184	19	Flrt1	2	0.972753799809461	1
127494	59069	3	Tpm3	11	0.972778895807844	1
196753	79233	8	Zfp319	2	0.972792731831515	1
188111	212111	7	Inpp5a	16	0.972813389959153	1
78856	106248	16	Qtrt2	8	0.972819383241673	1
197501	75687	8	Ripor1	22	0.972847922675297	1
114053	211896	2	Depdc7	9	0.97285206680531	1
61937	12891	14	Cpne6	18	0.972855547288481	1
69511	105782	15	Scrib	38	0.972880037145745	1
98558	104252	19	Cdc42ep2	2	0.972885309693137	1
85179	224671	17	Btbd9	11	0.972919409187904	1
179960	16828	7	Ldha	9	0.972929487787681	1
177927	53896	7	Slc7a10	11	0.972957463893219	1
78876	332175	16	Zdhhc23	4	0.972981307782321	1
18802	20509	10	Slc19a1	7	0.97298894027764	1
158461	212996	5	Wbscr17	11	0.97302218590895	1
113782	210622	2	Pamr1	11	0.973042155294807	1
184164	24075	7	Taf10	5	0.973042679709082	1
91401	12193	17	Zfp36l2	2	0.973044472723772	1
174715	68188	7	Sympk	27	0.973060818156505	1
105513	65969	2	Cubn	67	0.973064718763845	1
116412	214968	2	Sema6d	19	0.973068440282457	1
37501	18612	11	Etv4	13	0.973071240350107	1
205386	235415	9	Cplx3	3	0.97307708707438	1
26727	237716	11	Gpr75	2	0.973106099233758	1
149485	269639	5	Zfp512	14	0.973110034368926	1
197889	214987	8	Chtf8	4	0.973122593894923	1
196760	101985	8	Usb1	7	0.973126415114108	1
72901	77044	15	Arid2	21	0.97312664871217	1
35828	18023	11	Nfe2l1	8	0.973196929785362	1
8473	213006	1	Mfsd4a	12	0.973207438916681	1
28276	20362	11	Sept8	10	0.973211087706807	1
68150	68537	15	Mrpl13	7	0.973242147293886	1
35249	71452	11	Ankrd40	6	0.973258758539554	1
160716	75788	5	Smurf1	18	0.973270072219487	1
87014	53817	17	Ddx39b	12	0.973273071033015	1
81778	20112	17	Rps6ka2	21	0.973284169741275	1
23581	52666	10	Arhgef25	17	0.973288901574866	1
103892	170750	19	Xpnpep1	21	0.973310755995636	1
56855	59054	13	Mrps30	5	0.973323827151321	1
156688	19415	5	Rasal1	22	0.973384644368829	1
135463	384009	4	Glipr2	5	0.973400313297928	1
142587	100039864	4	Snhg12	5	0.973404262428101	1
6881	269224	1	Pask	18	0.973416521566888	1
99232	20168	19	Rtn3	9	0.973425638663347	1
92119	16573	18	Kif5b	26	0.973442688471688	1
43519	238130	12	Dock4	53	0.973445661677603	1
115692	20619	2	Snap23	9	0.973490037067311	1
151441	19687	5	Rfc1	25	0.973520893028078	1
124954	13175	3	Dclk1	20	0.973522151297775	1
92713	106931	18	Kctd1	6	0.973550815518936	1
2890	241062	1	Pgap1	27	0.973563994962568	1
157768	243272	5	Sbno1	32	0.97357898044648	1
158935	17448	5	Mdh2	9	0.973581185540498	1
82879	70081	17	Zfp995	5	0.973614609528531	1
138378	67299	4	Dock7	48	0.973639875434397	1
99217	68229	19	Spindoc	6	0.973657047101708	1
200054	69551	8	2310022B05Rik	4	0.973669333380415	1
17290	19156	10	Psap	16	0.973672030674648	1
106810	67991	2	Nacc2	7	0.973721088754974	1
35674	66610	11	Abi3	8	0.973755688193749	1
20268	18717	10	Pip5k1c	18	0.973768612017671	1
136071	242443	4	Grin3a	9	0.973776542521879	1
220601	207375	X	Fam120c	16	0.973790334570503	1
24955	216516	11	Ccdc157	13	0.973799024295914	1
73635	72393	15	Faim2	12	0.973804509731203	1
35228	70834	11	Spag9	34	0.973822687876855	1
37701	51799	11	Rundc3a	11	0.973833208904072	1
179535	243967	7	Ntn5	6	0.973869874172407	1
15631	237339	10	L3mbtl3	22	0.973907597054509	1
67109	67154	15	Mtdh	12	0.973914469773021	1
73621	380969	15	Nckap5l	13	0.973916648657411	1
209406	69010	9	Anapc13	3	0.973919207633695	1
72033	67976	15	Trabd	10	0.973950843076382	1
141346	14201	4	Fhl3	6	0.973971051514345	1
1708	98258	1	Txndc9	5	0.973997086290019	1
84751	100504186	17	C230013L11Rik	2	0.974037995156202	1
18174	52637	10	Cisd1	3	0.974074679224438	1
107777	20740	2	Sptan1	58	0.974089499619992	1
212769	12424	9	Cck	3	0.974125662636899	1
108780	99326	2	Garnl3	29	0.974127207775059	1
109456	67857	2	Ppp6c	7	0.974130656917726	1
68838	22402	15	Wisp1	5	0.97414266562408	1
31637	14723	11	Gp1ba	2	0.974196925923824	1
35508	12842	11	Col1a1	51	0.974198658367218	1
205554	665268	9	1600029O15Rik	3	0.974216792043468	1
6778	16560	1	Kif1a	48	0.974217598847166	1
137671	100862057	4	NA	2	0.974218213080107	1
70859	17444	15	Grap2	7	0.974229513097846	1
33332	11676	11	Aldoc	8	0.974242892292209	1
137914	230393	4	Focad	44	0.974244617815564	1
67711	239408	15	Tmem74	2	0.974286765571291	1
200164	244668	8	Sipa1l2	21	0.974356999861944	1
190169	54126	8	Arhgef7	22	0.974357119094857	1
32248	83429	11	Ctns	11	0.97436119845079	1
85607	56399	17	Akap8	14	0.974367317809029	1
58849	238988	14	Erc2	16	0.974372175723993	1
67043	12465	15	Cct5	11	0.974423051776867	1
145916	110326	4	Tas1r1	6	0.974431502076426	1
162693	69573	6	Hilpda	3	0.974434076228448	1
20903	66263	10	1810014B01Rik	3	0.974444621597241	1
213687	209815	X	Tbc1d25	6	0.974527481052397	1
8495	213409	1	Lemd1	5	0.974530104369674	1
42379	71853	12	Pdia6	13	0.974533049635188	1
98699	66406	19	Sac3d1	2	0.974548909690898	1
123809	18759	3	Prkci	18	0.974558250882571	1
80863	28080	16	Atp5o	7	0.974594627318349	1
43864	12632	12	Cfl2	4	0.974619842755217	1
34167	78394	11	Ddx52	15	0.974638912178975	1
124036	320478	3	Sox2ot	5	0.974660892173606	1
98026	11474	19	Actn3	21	0.974674893620688	1
69085	14083	15	Ptk2	33	0.974683798586451	1
128043	70737	3	Cgn	21	0.974700352980504	1
182847	66273	7	Aamdc	5	0.974701943327726	1
168521	192193	6	Edem1	12	0.974713563192976	1
116964	56461	2	Kcnip3	10	0.974722927947714	1
142457	80912	4	Pum1	22	0.974729688360957	1
80132	224344	16	Rbm11	5	0.974730019453511	1
5287	69368	1	Wdfy1	12	0.974761148954503	1
86091	14979	17	H2-Ke6	9	0.974798965213159	1
34872	207777	11	Tspoap1	32	0.974812753465184	1
78805	268890	16	Lsamp	6	0.97483578892904	1
190525	72148	8	Tdrp	3	0.974838902284683	1
107680	99151	2	Cercam	12	0.974875507795501	1
168012	14924	6	Magi1	26	0.974908048689686	1
45637	69522	12	2310002D06Rik	3	0.974924564213211	1
162406	19283	6	Ptprz1	30	0.974966028736995	1
37734	217219	11	Fam171a2	8	0.97496796330085	1
185742	67003	7	Uqcrc2	14	0.974978607484593	1
60905	219024	14	Tmem55b	7	0.974994618743636	1
14530	69912	10	Nup43	8	0.975022094527877	1
99375	83673	19	Snhg1	10	0.975052466853558	1
12735	11566	1	Adss	13	0.975062000300935	1
10554	329274	1	Fam163a	4	0.975063523049386	1
141615	27096	4	Trappc3	5	0.975086204474169	1
123298	70441	3	Mir124-2hg	3	0.975123589290293	1
125900	76089	3	Rapgef2	24	0.975125790247041	1
119977	228829	2	Phf20	18	0.975140521957269	1
172645	19227	6	Pthlh	4	0.975141150766114	1
182870	12729	7	Clns1a	7	0.975155925142158	1
174017	21849	7	Trim28	17	0.975213137387864	1
57876	21974	14	Top2b	36	0.975213399475514	1
76857	107522	16	Ece2	22	0.97522314686791	1
45066	238271	12	Kcnh5	11	0.975241278662237	1
130611	64378	3	Gpr88	2	0.975244828483176	1
164892	71982	6	Snx10	8	0.975254733716802	1
83312	381072	17	Abca17	30	0.975276607311431	1
204056	214552	9	Cep164	30	0.975347353606081	1
48423	70369	12	Bag5	2	0.975352994687873	1
119464	66971	2	Cdk5rap1	14	0.975367429962139	1
41102	15239	11	Hgs	22	0.975367898983849	1
219680	22381	X	Tceal9	3	0.975375232524039	1
52893	67399	13	Pdlim7	15	0.975377946991876	1
215040	54405	X	Ndufa1	3	0.975423667183397	1
154762	11958	5	Atp5k	4	0.975429276045603	1
108468	99412	2	Golga2	27	0.975437870703282	1
11093	17926	1	Myoc	3	0.975452840801926	1
31907	327958	11	Pitpnm3	20	0.975493751917332	1
27973	21408	11	Zfp354a	5	0.975502065783521	1
15321	20393	10	Sgk1	19	0.975502292989883	1
212866	56295	9	Higd1a	4	0.975507296818304	1
130801	76561	3	Snx7	9	0.975546972008616	1
16526	109205	10	Sobp	7	0.975559435250809	1
112424	241520	2	Fam171b	8	0.975614014526765	1
5321	26554	1	Cul3	16	0.975655791898265	1
44303	30795	12	Fkbp3	7	0.975667059623076	1
213962	71458	X	Bcor	16	0.975680271890678	1
144006	212555	4	Pqlc2	9	0.975727006973261	1
31269	276770	11	Eif5a	11	0.975742484466766	1
98556	19708	19	Dpf2	11	0.97576435651665	1
119602	67068	2	Dynlrb1	4	0.9757867645348	1
24250	69917	10	Nabp2	7	0.975787619776249	1
137738	20404	4	Sh3gl2	9	0.9758027547137	1
5105	319998	1	Tmem198	5	0.975806526397141	1
135357	230101	4	Gba2	17	0.975815989399958	1
99738	225908	19	Myrf	26	0.975822157850363	1
34730	68729	11	Trim37	24	0.975834312480924	1
165440	243385	6	Gprin3	2	0.975837414559257	1
55404	14064	13	F2rl2	2	0.97586484496692	1
88523	72029	17	Cnpy3	6	0.975869847339794	1
72425	100502796	15	Gm19378	2	0.975889247218896	1
188527	27388	7	Ptdss2	12	0.975890426167968	1
52815	51791	13	Rgs14	15	0.975917765811307	1
91802	225055	17	Fbxo11	23	0.975956701708419	1
156912	231712	5	Trafd1	12	0.975987560676778	1
198018	17463	8	Psmd7	7	0.97604327318369	1
55714	238803	13	Zfp366	5	0.976075638322411	1
19996	71912	10	Jsrp1	7	0.976096915436849	1
158480	319974	5	Auts2	19	0.976122057255375	1
199542	50917	8	Galns	14	0.976198357758384	1
86209	14998	17	H2-DMa	4	0.976214410438331	1
177249	11803	7	Aplp1	17	0.976248724250292	1
70279	22117	15	Tst	2	0.976257084105596	1
75314	14811	16	Grin2a	12	0.97626603241596	1
196956	12562	8	Cdh5	12	0.976298043525313	1
103125	26456	19	Sema4g	15	0.976310711599645	1
98873	26412	19	Map4k2	32	0.976317579829982	1
25860	12808	11	Cobl	15	0.976343610006356	1
18349	14598	10	Ggt1	13	0.976362260228024	1
201597	215194	9	Kri1	19	0.976375888305184	1
175573	232975	7	Atp1a3	22	0.97640308411221	1
192199	11988	8	Slc7a2	13	0.976434279577428	1
175729	269878	7	Megf8	41	0.976442762855302	1
87048	15015	17	H2-Q4	6	0.976472203170358	1
34653	67300	11	Cltc	32	0.976489781225211	1
16634	19072	10	Prep	15	0.976525603189976	1
213595	30052	X	Pcsk1n	3	0.976529512035224	1
23713	14632	10	Gli1	13	0.976531893176442	1
10704	226525	1	Rasal2	18	0.976561384085787	1
