	KOSD5	KOHC5	logFC	logCPM	F	PValue	FDR
ENSMUSG00000080848	126.4	110.8	0.208929564156051	1.64046917072431	5.05108848500368	0.0310836812907422	0.076734808351709
ENSMUSG00000082896	1653.4	1540	0.10857253498504	5.34383168877399	5.0499923243245	0.0311007678953313	0.0767650171550286
ENSMUSG00000023104	832.2	945.8	-0.18277223242582	4.50101917334794	5.05303098218481	0.0311536648460995	0.0768835922745414
ENSMUSG00000022912	497	553.6	-0.136377051114746	3.68707509270344	5.04554773615583	0.0311701540049956	0.0769029785293536
ENSMUSG00000022997	48.6	59.4	-0.341485777436095	0.45631270050948	5.04547845062678	0.0311712369855539	0.0769029785293536
ENSMUSG00000034371	162.8	187.4	-0.191334045659188	2.25469317355573	5.04408286915851	0.0311930596456056	0.0769448248605721
ENSMUSG00000020629	256.8	232	0.148291341535183	2.63573881150993	5.04322884951156	0.0312064221581528	0.0769657925119042
ENSMUSG00000023918	103	89.2	0.218631462750457	1.43147753441755	5.0413973110575	0.0312351006305973	0.0770179407589585
ENSMUSG00000029038	1484.4	1666.4	-0.135456939636686	5.35714102763846	5.04105684159615	0.0312404349214924	0.0770179407589585
ENSMUSG00000082194	163.2	140.6	0.213570048995929	1.99190743885555	5.04094655998118	0.0312421629675452	0.0770179407589585
ENSMUSG00000103947	356.6	422.8	-0.213213583193793	3.28292013581789	5.04234552601552	0.0312490653910877	0.0770229610830781
ENSMUSG00000031137	3837.6	4101.6	-0.077799282173252	6.65731537984819	5.03899228419127	0.0312728026227075	0.0770694679612078
ENSMUSG00000083367	2909.2	3341.4	-0.182619011994417	6.29030070644214	5.06269583053594	0.0313139738701431	0.0771589184916711
ENSMUSG00000015474	1149.6	1074.4	0.10475291056962	4.82839109031063	5.03455155958556	0.0313425476789499	0.07721730540235
ENSMUSG00000042359	3072.4	2938	0.0761271064698066	6.2741770508624	5.03268250019047	0.0313719535502589	0.0772777237390365
ENSMUSG00000052221	134.6	181.4	-0.38473035945201	2.12698959864766	5.05109121294029	0.031400527371439	0.0773360740255964
ENSMUSG00000001166	33.8	43.4	-0.35427626646588	0.116985580462479	5.02806720979411	0.0314446950880017	0.0774328062457963
ENSMUSG00000001150	2707.8	2536.2	0.0924452192453586	6.05573340242927	5.02503702136397	0.0314925541175807	0.0775359306782817
ENSMUSG00000039501	2910.8	3085.6	-0.0920420092985727	6.23504488328188	5.02479566183928	0.0314963695913419	0.0775359306782817
ENSMUSG00000007653	2943.6	3273.2	-0.152453177193648	6.3661573952597	5.03469290732421	0.0315062585390764	0.0775438975371059
ENSMUSG00000047897	71.2	85.6	-0.252939716558908	1.16227281755222	5.02397139909726	0.0315094035604691	0.0775438975371059
ENSMUSG00000024142	852.8	906.4	-0.094673813776108	4.55677971279689	5.02324601950967	0.0315208787804164	0.0775600793121734
ENSMUSG00000057133	2935.4	3174.6	-0.114553833008339	6.32881292643936	5.01937943785679	0.0315821237230267	0.0776987000950869
ENSMUSG00000039050	2092.4	2203	-0.0731134377826811	5.78272486899119	5.01481877440974	0.0316545299059411	0.0778647325378619
ENSMUSG00000020689	108	124.4	-0.20584116069081	1.58311749464348	5.01076867124907	0.0317189824936823	0.0780054652230286
ENSMUSG00000073982	320.2	367	-0.192172997043696	3.18368886409237	5.01060448740627	0.0317215983094722	0.0780054652230286
ENSMUSG00000057315	325.6	290	0.176880887128418	2.99921927744535	5.00560871574717	0.0318013050211315	0.0781875351846966
ENSMUSG00000031109	196.8	218.8	-0.140192850597516	2.43492980663472	5.10246695668408	0.0318055176608921	0.0781875351846966
ENSMUSG00000042256	63.2	79	-0.306180286537858	0.988502841139337	5.00472112462318	0.0318154892891643	0.0781915666314322
ENSMUSG00000021027	4689.8	4496.6	0.0627523255745108	6.89216303239309	5.00462429374683	0.0318170371263538	0.0781915666314322
ENSMUSG00000006024	9444.4	9967	-0.0610590207149036	7.96795300622491	5.00385105112465	0.0318294003294897	0.0782098071740907
ENSMUSG00000095115	82.2	99.6	-0.278721331254042	1.2581238424823	5.00230412845683	0.0318541495000222	0.0782584715871258
ENSMUSG00000089999	3879.4	4452.2	-0.171827537799963	6.76974837934644	5.02461471302661	0.031912834139668	0.0783904797636258
ENSMUSG00000083899	14440.6	13432.8	0.117018270822222	8.39921612201023	4.99917012792483	0.0319334101680532	0.0784229941128234
ENSMUSG00000039633	829.2	765.4	0.12037787105737	4.33059590074114	4.99719876370686	0.0319359795344785	0.0784229941128234
ENSMUSG00000037196	340.8	395.2	-0.170884686636319	3.27791320177995	4.99633898314882	0.0319497829109612	0.0784447205983566
ENSMUSG00000021255	71.2	86.6	-0.258569988661456	1.12828167359835	4.99501520334421	0.0319710483374266	0.0784847587055096
ENSMUSG00000096606	124.4	154.4	-0.317283131697059	1.91886593265963	4.99552595061647	0.0320065474300913	0.0785597207739054
ENSMUSG00000014077	5508.4	5327	0.0602776662394467	7.07426728176852	4.99114871537329	0.0320332489491034	0.0786130693977299
ENSMUSG00000031974	457	493.6	-0.110709848821941	3.59167234065624	4.98822191305885	0.0320804207442213	0.0787092566552872
ENSMUSG00000021546	5544.4	5983.4	-0.0823071973647275	7.17668235785018	4.98809993896042	0.0320823882708897	0.0787092566552872
ENSMUSG00000001542	1673.6	1581.2	0.094598917894278	5.31909580153646	4.9877711376034	0.0320876927218866	0.0787100709894225
ENSMUSG00000106181	23.8	17.4	0.443590642899667	-0.836360327091702	18.90114179004	0.0321108211898989	0.0787546000332987
ENSMUSG00000033854	198.4	223.4	-0.184175602407172	2.42823457141075	4.98524625926346	0.0321284577851575	0.078785648068359
ENSMUSG00000031176	5022	5436	-0.0871587189348367	7.03683330654502	4.97853866135133	0.0322370297379398	0.0790396443187499
ENSMUSG00000087610	81.6	66.6	0.326388692984795	0.891759437684434	4.97780479385424	0.0322489327544661	0.0790565830215958
ENSMUSG00000030268	3219.8	3070.2	0.0785710517522418	6.32527520918771	4.97384069508004	0.0323133119137505	0.0792021390961222
ENSMUSG00000001119	10193.6	11174.8	-0.136758029818262	8.10196606555856	4.98170106091718	0.032353413904073	0.0792881543098889
ENSMUSG00000023977	2461.2	2241.6	0.119370826619446	5.92182400365227	4.97010561403053	0.0323741003525004	0.0793167554119714
ENSMUSG00000024271	2078.4	2199.4	-0.0708401906876193	5.77280959782785	4.97004387271282	0.0323751062427663	0.0793167554119714
ENSMUSG00000090110	191	164.6	0.23942122988739	2.14606113044398	4.96657678631489	0.0324316469576939	0.0794429804539365
ENSMUSG00000051486	388.6	461.4	-0.204620526088823	3.36669453534984	4.96622942671762	0.0324600812118789	0.0794996205238783
ENSMUSG00000037098	6258.4	5872.6	0.0855834011147958	7.26735099099972	4.96454602900682	0.0324648143954987	0.0794996205238783
ENSMUSG00000104586	119.6	93.8	0.285407178207835	1.45286834577803	4.96211567089415	0.0325045571187354	0.0795846302602418
ENSMUSG00000025245	1282.8	1227.6	0.0859182463599254	5.01080975746665	4.95455962164784	0.0326284586922219	0.0798756375872533
ENSMUSG00000087651	550	515.6	0.123703239331916	3.72932942023129	4.95328637094493	0.0326493878574168	0.0799145137459487
ENSMUSG00000022305	1735.4	1855.4	-0.0857185959124209	5.48795193018356	4.95291613033252	0.0326554764746614	0.0799170589235337
ENSMUSG00000028423	2302.4	2397.2	-0.0635815553168057	5.91102914071407	4.9490785557412	0.0327186587189383	0.0800593057446397
