	WTSD5	WTHC5	logFC	logCPM	F	PValue	FDR
ENSMUSG00000015133	371.2	397	-0.106981731921367	3.32589347455381	0.947045594201639	0.337315351059735	0.485440921167792
ENSMUSG00000008435	343	329	0.0586941773705001	3.06517171174672	0.946044782504956	0.337471294775415	0.485621193181822
ENSMUSG00000040548	5003.4	4927.2	0.0286325719111885	6.96199482409673	0.945431186108729	0.337625931878464	0.485799552377439
ENSMUSG00000058070	1380.4	1407.6	-0.0411035926925418	5.129336017021	0.945102632913033	0.337708773240455	0.48585390957576
ENSMUSG00000023953	72	78	-0.108161048393908	0.908380371588551	1.20116124125648	0.337725097420057	0.48585390957576
ENSMUSG00000040219	101.8	107.8	-0.126951791823435	1.54520636350031	0.9431238425408	0.338208298582864	0.486475522441797
ENSMUSG00000038274	65.4	61.8	0.116041588897792	0.796379838595147	1.19162621832096	0.33821865717809	0.486475522441797
ENSMUSG00000078154	840.4	867.6	-0.0664442147538387	4.4811430540905	0.942190146767315	0.338444354536812	0.486723081167952
ENSMUSG00000061436	1573.2	1688	-0.12728624750867	5.34973370794926	0.946222833011247	0.338452268268093	0.486723081167952
ENSMUSG00000094242	83	76.2	0.105153848826119	1.02117163395209	0.985749417390682	0.338569780739746	0.486847843325712
ENSMUSG00000082319	2485.6	2578.2	-0.0417936959465429	6.01849382154733	0.941465686898302	0.338627668387595	0.486886852839244
ENSMUSG00000038807	12416.2	12101.4	0.0385423924210042	8.24099979274852	0.9410155983178	0.338741625677004	0.487006466198119
ENSMUSG00000041736	23	26	-0.187378414696676	-0.519043463834761	1.64939328866132	0.338813069641792	0.487064535198736
ENSMUSG00000028833	86474.2	89185	-0.0341885267638242	11.1036068418527	0.940613185415717	0.338843556864519	0.487064535198736
ENSMUSG00000051678	63.4	72.2	-0.128607478291207	0.850553513741688	0.940239666848499	0.338938207020042	0.487134265921636
ENSMUSG00000030737	417.4	435.6	-0.0560667382379451	3.4147580184997	0.940178867630481	0.338953617086417	0.487134265921636
ENSMUSG00000043969	672.4	639.2	0.0639891670810615	3.99215484996191	0.939898405559799	0.339024715053054	0.487192211945056
ENSMUSG00000057315	292.4	309.6	-0.0800208545900052	2.99921927744535	0.939192856951296	0.339203664823437	0.487303623654603
ENSMUSG00000034333	75.6	79.8	-0.106868516325758	0.992381896175455	1.63093408774839	0.339211857124975	0.487303623654603
ENSMUSG00000021792	2657.8	2764.8	-0.0568266654805618	6.11601634214322	0.939145129488114	0.339215774750667	0.487303623654603
ENSMUSG00000093384	62.2	70.2	-0.165496034341866	0.729287556165017	0.939205547091843	0.339225385624491	0.487303623654603
ENSMUSG00000033186	6281.2	6029.4	0.0760778379938181	7.28459365318791	0.940552447623427	0.339299026241893	0.487315165488502
ENSMUSG00000001270	28873.4	28400.6	0.0496426387653308	9.5383704588712	0.938562703607882	0.339363602258029	0.487315165488502
ENSMUSG00000022752	5557.6	5738	-0.0365449373495636	7.1859439029712	0.938489133339963	0.339382281710381	0.487315165488502
ENSMUSG00000026051	13	10.6	0.304885091381173	-1.28563232011573	0.938905352192503	0.339389152954191	0.487315165488502
ENSMUSG00000038712	624.2	611.4	0.0482162544643937	4.02373302594512	0.938362108985398	0.339414536470989	0.487315165488502
ENSMUSG00000027007	1940.8	1884.4	0.0414772391680082	5.62218713076116	0.938347928343329	0.339418137564643	0.487315165488502
ENSMUSG00000113712	104.6	110	-0.106326464479143	1.51100087096736	0.937704558974997	0.339581573113458	0.487505597751944
ENSMUSG00000074698	1598.8	1645.4	-0.0412415518162163	5.37003883095577	0.937150721916918	0.339722351824396	0.487663472116474
ENSMUSG00000084883	1892	1833.4	0.0467378350606358	5.51171672227593	0.936878982237321	0.339791454276496	0.487718437590012
ENSMUSG00000111932	115.8	134.8	-0.170280177397014	1.68927588070588	0.936928176554692	0.339968124558788	0.487927776193767
ENSMUSG00000040998	685.2	714	-0.0927468412667223	4.17904187958077	0.936001862128286	0.340164380176198	0.488140405370116
ENSMUSG00000024592	113.6	109	0.087825495961573	1.55393517386267	1.29738823634976	0.340190553871686	0.488140405370116
ENSMUSG00000052374	787.8	831.2	-0.11224034608291	4.3145438841413	0.937178128207736	0.340208790956038	0.488140405370116
ENSMUSG00000004837	57.4	63.4	-0.119568735242072	0.699231678079474	1.11099441269165	0.340724246620998	0.488835683836108
ENSMUSG00000096687	172.2	179.2	-0.0717267035368304	2.16949623813033	1.17544271476013	0.340816127751523	0.488923190699553
ENSMUSG00000091985	98.8	91.4	0.0974765564028152	1.27571264555564	1.3857204891532	0.340852584186546	0.488931178530932
ENSMUSG00000021963	689.4	674.4	0.0350154519294296	4.14523836101868	0.948528963409251	0.341056024332763	0.489161609944159
ENSMUSG00000038759	823.8	855.6	-0.0458253308711611	4.40096297704862	0.93184526896855	0.341075032469119	0.489161609944159
ENSMUSG00000028953	3783.2	3739.6	0.0260745919737245	6.59156654912012	0.931454673514478	0.341174913164156	0.489260527312505
ENSMUSG00000022787	562.4	590.2	-0.0677557930287144	3.90721766406623	0.931203803350545	0.341239085512353	0.489308223985419
ENSMUSG00000041815	993.4	969.4	0.0387071974595402	4.65248517238111	0.930485010224164	0.341423044665921	0.489510085817293
ENSMUSG00000029097	396.4	373.8	0.0717880730711198	3.21041593865316	0.930412100780831	0.341441711890121	0.489510085817293
ENSMUSG00000110057	452.8	471.6	-0.0698974887418218	3.56351653639439	0.929584956964974	0.341653587016556	0.489769482782563
ENSMUSG00000019761	188.4	197.2	-0.098803330866757	2.38335051128162	0.929302218947282	0.341726052883636	0.489829003993034
ENSMUSG00000057561	2847.6	2781.6	0.0414314440219345	6.17011490247461	0.928565872599204	0.341914878703576	0.490055289297257
ENSMUSG00000033966	691.8	677.4	0.0569824927454988	4.12038535765856	0.92838075375037	0.341962372604533	0.490065621332332
ENSMUSG00000050138	194.4	191.8	0.0830920293369549	2.32606583257133	0.92829643873927	0.341984007406465	0.490065621332332
ENSMUSG00000030614	325.4	312	0.0602600264808259	3.02487650746263	0.9280417047927	0.342049382359664	0.490114933771262
ENSMUSG00000043463	490.8	476.6	0.0439779023866829	3.5749444749492	0.927373905296184	0.342220848737096	0.490316239560055
ENSMUSG00000083474	94.2	103.6	-0.103903182401301	1.35302145413655	0.92719264703694	0.342267409752454	0.490329679213728
ENSMUSG00000062797	485	514.4	-0.057196193422505	3.65906029993245	0.92707652487442	0.342297243439398	0.490329679213728
ENSMUSG00000036707	10363.8	10332.6	0.0289732244035416	8.06250367975702	0.926975664395624	0.342323159074541	0.490329679213728
ENSMUSG00000043631	126.6	137.2	-0.0989818957650889	1.83174228311801	0.926037818096499	0.342564264633207	0.49063063200136
ENSMUSG00000049950	150	158.6	-0.0749243301297736	1.99279309436359	0.931162789721822	0.342642767690083	0.490698667308995
ENSMUSG00000068479	275.6	289.2	-0.0838899042430673	2.86777704118681	0.925611780430096	0.342673869996605	0.490698813838996
