	WTRS2	WTHC7	logFC	logCPM	F	PValue	FDR
ENSMUSG00000018537	3309.2	4214.4	-0.340696540934177	6.53708792150446	90.1597193137309	3.58192414787564e-11	7.24532412908315e-09
ENSMUSG00000003974	728.2	1020.6	-0.502797160770744	4.4666089093606	90.079963961117	3.62221796427826e-11	7.24532412908315e-09
ENSMUSG00000034413	1094.4	1493.6	-0.45392583420346	5.14011004382496	90.0025309581411	3.66179752559639e-11	7.24532412908315e-09
ENSMUSG00000022122	574.4	850.8	-0.565516283541975	4.16094128044911	89.4368909010489	3.96517199407794e-11	7.74872932027898e-09
ENSMUSG00000026458	3055.8	3965.2	-0.388921731498925	6.43282801012873	88.5418494760401	4.50078331248173e-11	8.68815842113089e-09
ENSMUSG00000034853	1091.2	713.2	0.580463255473356	4.50340665527468	88.109953785012	4.78614373237793e-11	9.12769507708558e-09
ENSMUSG00000001627	1806.2	1363.6	0.414414444049482	5.36988500631387	87.8025649559103	5.00086435583934e-11	9.42365260578345e-09
ENSMUSG00000000223	2281.6	2958.4	-0.387716989575673	6.03648099435463	87.3203107090996	5.35851914982398e-11	9.97882348500751e-09
ENSMUSG00000053166	4348.6	3334.2	0.385039394904659	6.61107652047988	87.094027936111	5.53557473796653e-11	1.01886758752642e-08
ENSMUSG00000041926	1183	968.4	0.293254029177591	4.78498543322932	86.7643799786103	5.80466800498159e-11	1.05611597529717e-08
ENSMUSG00000020048	11332.2	8383.4	0.436157540832575	8.01413854888507	86.3694284985378	6.14540827035365e-11	1.10010219812505e-08
ENSMUSG00000066357	2266.2	3027.2	-0.42354950160901	6.01929905654737	86.2853301600254	6.22065916533875e-11	1.10010219812505e-08
ENSMUSG00000054252	3917.2	2798.6	0.480514897201833	6.38523443680369	86.2473922655122	6.25492436864328e-11	1.10010219812505e-08
ENSMUSG00000079018	380.2	248.2	0.600927595582174	3.02952973393811	86.0822049380966	6.40646462618415e-11	1.11437284140515e-08
ENSMUSG00000032816	1656.8	2323	-0.510911218251505	5.6535302406003	85.2596871943064	7.22105956524404e-11	1.23859130385069e-08
ENSMUSG00000028517	5096.4	6751	-0.418492479912128	7.20760122319851	85.2067721609207	7.27708580820735e-11	1.23859130385069e-08
ENSMUSG00000031765	1167.8	720.6	0.688005529815695	4.56683907567568	85.0511360293231	7.90222925624662e-11	1.33068496699072e-08
ENSMUSG00000038244	37276.6	27625.4	0.437132104112001	9.64679118712612	83.4898322444641	9.36898484181981e-11	1.56107011643332e-08
ENSMUSG00000058440	938.8	717.8	0.386248304812342	4.40133615180124	82.8570889900268	1.02929992134049e-10	1.69716546405193e-08
ENSMUSG00000057060	1127.4	844.4	0.428690649548645	4.64353808016249	82.3469653307455	1.11080564268377e-10	1.80088432479626e-08
ENSMUSG00000022197	4844.4	3474	0.458869098639295	6.71010045326125	82.3220482671972	1.11495775999769e-10	1.80088432479626e-08
ENSMUSG00000028909	5184	3900.4	0.412886089836785	6.77800398444726	81.1374676931165	1.33259453793702e-10	2.13067060010153e-08
ENSMUSG00000056394	377.6	546.4	-0.530891418447906	3.55092135735801	81.0212772838418	1.35624154193133e-10	2.14679473672311e-08
ENSMUSG00000025026	4360.4	5550	-0.353060679608496	6.9614417655466	80.8225572665684	1.39771975824073e-10	2.19054515378144e-08
ENSMUSG00000023192	3346	4583.8	-0.469318862546642	6.60604184464153	80.4055273785746	1.48919129693335e-10	2.3110204940351e-08
ENSMUSG00000038545	1409	1799.8	-0.361719938448973	5.33995318094476	79.4960801820736	1.71135973704008e-10	2.63001099782597e-08
ENSMUSG00000032735	2148.4	2815	-0.398416692460373	5.9821686219365	79.0839596037803	1.82334516440296e-10	2.7751664045514e-08
ENSMUSG00000021710	491.4	671.8	-0.464691022615375	3.86722088905775	78.9893594496233	1.85012899484332e-10	2.7764311771216e-08
ENSMUSG00000041957	202.8	105.4	0.930577534341498	2.30082851934256	78.9574520200722	1.8592564582405e-10	2.7764311771216e-08
ENSMUSG00000035397	834.8	1130.8	-0.433734166575663	4.64790505379181	78.7522770953024	1.91909883636234e-10	2.83901079259622e-08
ENSMUSG00000038982	294.8	423.4	-0.530253098403532	3.14859472685684	78.4594260687211	2.0080680055251e-10	2.9431211536534e-08
ENSMUSG00000015305	2019.2	2670.8	-0.417038989343689	5.87002458631239	78.3467025835899	2.04346788269202e-10	2.96752780872771e-08
ENSMUSG00000045193	4279.8	6659	-0.620657277538459	7.08090673396538	80.7434639074683	2.0965226964421e-10	3.01248977772634e-08
ENSMUSG00000025892	4166	4997.6	-0.264619189542736	6.8711154384207	78.1327327527559	2.11249204199649e-10	3.01248977772634e-08
ENSMUSG00000060166	8107.2	10557.2	-0.394977323291112	7.83277445316874	77.8490691681602	2.20782435242481e-10	3.12032604236896e-08
ENSMUSG00000033763	13388	15739.8	-0.239579645623463	8.48997545665469	77.4180612294866	2.36148652161798e-10	3.30796196023814e-08
ENSMUSG00000041773	38432.4	29593.4	0.384519844067367	9.77301840598095	77.3523914732528	2.38587506613859e-10	3.31280845806208e-08
ENSMUSG00000042216	17464.6	11165	0.669628704325129	8.51254656416533	80.8977726699889	2.46700036293755e-10	3.3709666580722e-08
ENSMUSG00000033383	12.6	0.8	3.81535746137253	-2.29907490396068	77.3994110254934	2.47035272181676e-10	3.3709666580722e-08
ENSMUSG00000026315	856.8	530.4	0.70754469767313	4.31028266496019	77.257989684698	2.54409370461349e-10	3.44191959404504e-08
ENSMUSG00000022951	2569.6	2203.2	0.232288042754225	5.99363542510936	76.873258507659	2.57208483380923e-10	3.45029922325139e-08
ENSMUSG00000087380	255.8	165.2	0.624405452742338	2.37881945514936	75.6788092692841	3.10651725409331e-10	4.13219005168428e-08
ENSMUSG00000032575	1014	717	0.508187787720314	4.53882568854339	75.383347307469	3.25607162281524e-10	4.2950298097952e-08
ENSMUSG00000028033	4889.2	5802	-0.245020072442978	7.09224473945574	75.1486558285093	3.380289603661e-10	4.42203339969834e-08
ENSMUSG00000050074	42.2	19.8	1.14518654170299	-0.330946718869227	74.5194201118951	3.73872840595421e-10	4.85084688015157e-08
ENSMUSG00000054477	1637.4	1272.2	0.373650416621109	5.3076901684421	74.4089610442981	3.80569515587941e-10	4.89758931889554e-08
ENSMUSG00000052566	838.4	1090.8	-0.377997208262298	4.60213060466962	73.9121109680682	4.12299545686943e-10	5.26313670054727e-08
ENSMUSG00000052296	8044.4	6927	0.213082286303014	7.55416545658469	73.6300774732997	4.3154589228584e-10	5.46475194319406e-08
ENSMUSG00000007682	3156.6	1905.4	0.70355564819608	6.08973691008732	76.123529387179	4.36556495913677e-10	5.48432759826793e-08
ENSMUSG00000045294	1033	1370	-0.403933222610196	4.93080442848383	72.8202485489382	4.92282612476051e-10	6.13570194715229e-08
ENSMUSG00000040447	2840.8	2069.2	0.462749360775537	6.06039409348324	72.4910346425343	5.19502997784192e-10	6.42438511869217e-08
ENSMUSG00000042846	1352.2	1107.6	0.294362176726256	4.96432720576534	72.2688280628832	5.38772820313581e-10	6.55364295934972e-08
