	WTSD5	WTHC5	logFC	logCPM	F	PValue	FDR
66464	444.377664482876	348.96135818039	0.301022677753092	3.455524591838	17.6505000346896	0.000156456635072271	0.00114039885538988
21817	493.154612406022	433.221851103129	0.339866952329491	3.8123182057533	17.6491010200987	0.000156534878263508	0.00114039885538988
68192	2752.09596510873	2454.79089977164	0.203532592083315	6.21374539071962	17.6485015022532	0.000156568420377318	0.00114039885538988
70984	686.402129531694	773.800989187207	-0.271239074957673	4.39884971738118	17.6445722613609	0.000156788443673834	0.00114142929610445
52432	1816.14991135279	2026.45528999046	-0.179927431699987	5.81190220236	17.6285110385286	0.000157691219730651	0.00114742669699855
257633	537.114118190645	669.748578523312	-0.232415678345229	4.1344681103192	17.6190867099974	0.000158223504020811	0.00115072359205526
432516	93.4532483501286	65.1694551881278	0.577235835959605	0.957484815615033	17.6154176705631	0.000158431244217765	0.00115165803388111
67878	3730.48036992239	3091.51834513808	0.176953079775756	6.60435724039664	17.6098010404531	0.000158749815479162	0.001153179198739
50493	2030.83210023588	1892.8977545452	0.174307759362129	5.78171646685868	17.6089309381632	0.000158799227628981	0.001153179198739
72605	5207.36393346929	6093.09408400822	-0.172399114292454	7.32652588772496	17.6032211973424	0.00015912388132754	0.00115469741297732
71069	6585.43740866029	5625.74214180725	0.205014010394651	7.3823432167093	17.6024598711091	0.000159167223053717	0.00115469741297732
77113	8646.58471721459	7669.27465921049	0.215538203120625	7.85086683033431	17.5913640034907	0.000159800321227986	0.00115871181026141
56788	77.0048055413589	52.7097134431971	0.528657708244864	0.937091707363437	17.5875492618748	0.000160018594058546	0.00115971580561832
277154	376.751666973004	484.999934056183	-0.287307632216422	3.6112238757239	17.5762602971846	0.000160666377873189	0.00116383007820304
233899	139.810286294156	199.69639222306	-0.458227438894828	2.3032672127517	17.5710572425482	0.000160965872829101	0.00116541858399585
218734	802.063531786076	899.105232275113	-0.220568801443474	4.61369917353622	17.5465457580252	0.000162384750783682	0.00117510598288729
23945	12358.8657292934	11615.6045761937	0.158651038457372	8.39451827828088	17.5420927699197	0.000162643934178165	0.00117639572301788
214150	254.474553303888	162.999081159445	0.455015263487238	2.45968581482542	17.5346688297385	0.00016307701312383	0.00117894133219023
16145	158.204642328939	219.71705048768	-0.539353892851203	2.42134875199324	17.5347966367055	0.000163983666502866	0.00118490634408411
227638	740.144070106164	862.210877767446	-0.230125168747622	4.50469960409054	17.5078550656036	0.000164651390828614	0.00118913984101918
68718	1010.05334024111	929.5421716764	0.228483770919631	4.72956308067204	17.5021400404203	0.000164989023511156	0.00119098633911605
54006	1373.95462129906	1760.64480541995	-0.206831190674623	5.42494217937261	17.4712127888543	0.000166828892477006	0.00120332439074939
21354	67.1031324745357	103.602532537503	-0.626039228247065	1.256803442843	17.4692598438633	0.000166945799587075	0.00120332439074939
19274	1755.21884926776	2043.10387005472	-0.23025393816196	5.76056932556363	17.4692454124017	0.000166946663805021	0.00120332439074939
22341	119.496746517655	155.547667106311	-0.444025851177264	2.03048509284531	17.4561692697317	0.000167731667115169	0.00120838317047621
26386	537.718549098049	716.233848836044	-0.284816317244126	4.07886296155098	17.452712048113	0.000167939867177178	0.0012092835529988
15550	745.208997382907	927.650582698721	-0.310144560491597	4.66341512105133	17.447174423301	0.000168273922523141	0.00121093272959149
12561	1399.55493204363	1173.95653394691	0.36519233346878	5.11244223168237	17.8870818628393	0.00016833556629102	0.00121093272959149
21881	4388.9410796494	5331.63250375463	-0.185289618829692	7.12464448406672	17.4306569547845	0.000169274513957786	0.00121708459293448
74100	15625.2713391499	17719.4549801625	-0.21169836389405	8.92113897630159	17.4201273851946	0.000169915654435845	0.0012210901951569
70296	2003.75146680813	1914.27007620506	0.159048755488224	5.77740191326579	17.4141238384632	0.00017028235666793	0.00122312057574972
19736	20343.4506102664	22565.3653841389	-0.209252915011791	9.3789128137869	17.4113769037156	0.000170450421004461	0.00122372285949398
14390	1099.96782883292	845.830295807854	0.261514111675605	4.73604909279351	17.4090868282261	0.000170590667636809	0.00122412493403974
17475	3827.91672022281	3128.08343018517	0.210147608640132	6.62115827602252	17.3967462086467	0.00017134852382995	0.00122895626839734
18669	120.237179476799	153.615108195887	-0.478613191353613	2.02560595193971	17.3852686124948	0.000172056576771317	0.00123342581009571
19218	67.5052473930634	100.337075241896	-0.583431182349921	1.35386589509156	17.3667021378997	0.000173208501697365	0.00124107136990356
77057	137.176993914036	94.7915691347212	0.536982793322944	1.768402396988	17.3648790123906	0.000173322053341844	0.0012412729211978
225027	3905.25632949941	3234.65616675293	0.222559650082137	6.64417174752751	17.3602379041787	0.000173611475832023	0.00124273317995819
67811	2996.66591101134	3460.68909579998	-0.137603722420192	6.5271225031888	17.3561585115607	0.000173866291467949	0.00124394440242283
319594	2700.1176351327	2402.72873156793	0.216529031047077	6.1417904709085	17.3511737143058	0.000174178199484105	0.00124556270507063
