	KORS2	KOHC7	logFC	logCPM	F	PValue	FDR
ENSMUSG00000028441	65.4	52	0.341682662692866	0.821512217594067	8.62185165248835	0.00586628741798146	0.0250424658951533
ENSMUSG00000040711	856	973.4	-0.187442767095224	4.59360276517732	8.61820609048551	0.0058756629037473	0.0250757260995999
ENSMUSG00000016831	2664.2	2485.8	0.111638450450808	6.02970686982272	8.60265757738794	0.00591583071029768	0.0252378509370724
ENSMUSG00000035357	2639	2849.4	-0.108981636522158	6.06981753146194	8.60226824376272	0.00591684028223361	0.0252378509370724
ENSMUSG00000020601	1328	1100.8	0.267716099707083	5.09138826456496	8.6736645215335	0.00592472721416784	0.0252646840175277
ENSMUSG00000024241	2732.2	2919.2	-0.0921161501664527	6.19951228770506	8.59843547231457	0.00592678882481141	0.0252666685450956
ENSMUSG00000037679	15439.2	13793.4	0.165927721478353	8.50015287020135	8.60603993894557	0.00594077613398949	0.0253194791127948
ENSMUSG00000004996	155.4	182.4	-0.230924790292967	2.10689712033291	8.59000796416213	0.00594872687612328	0.0253465404366502
ENSMUSG00000027469	68.2	53.6	0.34820718415539	0.642866442527747	8.58437582791932	0.00596343671859653	0.0254023788532466
ENSMUSG00000026409	656.6	709.8	-0.110857815208823	4.12389449656289	8.58219032012234	0.00596915526733291	0.0254198974244317
ENSMUSG00000030722	237.2	203.4	0.21167324840811	2.4395290649225	8.57853249406859	0.00597873941782593	0.0254538639711583
ENSMUSG00000037664	267	321.2	-0.287529898117351	2.95208538123689	8.57401025489045	0.00599307270612609	0.0255080257771632
ENSMUSG00000025060	5288.2	5649.6	-0.0958638014797315	7.12295103680122	8.56869051218908	0.00600460922182653	0.0255502578957775
ENSMUSG00000038368	617.4	548.4	0.178053740057748	3.90312599029852	8.56804981279536	0.00600629746887278	0.0255505731348528
ENSMUSG00000021036	824.8	888.4	-0.108156587190618	4.48326223841557	8.5667790233669	0.00600964751428704	0.0255549072996226
ENSMUSG00000033906	111.6	130.8	-0.231344533919609	1.66660856992033	11.7663867460277	0.00601054519404227	0.0255549072996226
ENSMUSG00000019822	164.8	142.4	0.204538272891022	1.92876521458173	10.5840887468514	0.00601314199655004	0.0255590828849062
ENSMUSG00000032591	52.2	35.2	0.57985140049545	0.505191063901342	8.57381021809021	0.00601496121394825	0.0255599519612314
ENSMUSG00000044014	277.4	241.8	0.190163194640742	2.69317655580367	8.56126101604687	0.00602421731344457	0.0255924143463538
ENSMUSG00000039754	105.2	88.4	0.257129933210114	1.31187678525478	8.85600719052914	0.006031094281705	0.0256147548658729
ENSMUSG00000002803	1152.2	1231.6	-0.0981976443535935	4.90002727374335	8.55650882431817	0.0060367954227644	0.0256320908655949
ENSMUSG00000045973	2463.8	2331.4	0.0764861479211494	5.94646733085965	8.55464190526397	0.00604174449435102	0.0256462251544871
