	logFC	logCPM	LR	PValue	FDR
12628	0.0629941860103374	4.77153559797807	0.766293870885566	0.381366020533231	0.981062390639285
68010	0.142683439337636	1.21784067240617	0.766020035359935	0.381451109277925	0.981062390639285
224079	-0.0972347493801851	3.40516787815652	0.7658982343403	0.381488965064769	0.981062390639285
100503222	-0.0891036564458734	4.08673318979329	0.765865288979541	0.38149920540434	0.981062390639285
338521	-0.087073932469195	4.14431596744542	0.765809817871505	0.381516448254967	0.981062390639285
18132	0.0930080457776263	3.33615606234572	0.765651207528618	0.381565757383388	0.981062390639285
16997	0.267910744684525	0.110803499814599	0.765367987257349	0.381653827949191	0.981062390639285
208768	-0.0661987129128835	4.3665982130468	0.765277077548948	0.381682103456433	0.981062390639285
75387	0.0640044761330776	4.20553985658303	0.765111252060773	0.381733687540665	0.981062390639285
211378	-0.191783818756029	0.258853030579535	0.764552793597611	0.381907482333382	0.981062390639285
11492	0.0757705699988533	5.19940460933039	0.764543122405003	0.381910493038719	0.981062390639285
76257	-0.052622374286064	5.98650641972723	0.764361242669539	0.381967119645233	0.981062390639285
66177	0.0584688537174443	6.00642331575922	0.76411675467811	0.382043257495944	0.981062390639285
20301	0.0433179546787587	5.75848188303512	0.763814157713926	0.382137521261427	0.981062390639285
76308	0.0358482587313219	7.09138779350664	0.763770931908271	0.382150989475513	0.981062390639285
20266	0.0443666906984334	8.59118982587514	0.7632112777098	0.382325426177363	0.981062390639285
100383	0.0489736044244641	6.05040621691502	0.763137518032298	0.382348424489501	0.981062390639285
67972	-0.0360683239157278	9.67148136098042	0.762741585865282	0.382471909878804	0.981062390639285
100043600	0.211803269635296	0.699802701967379	0.762676049624725	0.382492355113092	0.981062390639285
18555	-0.0342595139716497	8.33737713576896	0.761917184254836	0.382729209929256	0.981062390639285
269587	-0.0517034625808311	5.39065218919645	0.761857840265215	0.382747740961304	0.981062390639285
433082	0.127881839133521	1.51979781341408	0.761296792206945	0.382922999315492	0.981062390639285
100042178	-0.0935997734029889	3.61612278538282	0.761092387720069	0.382986878790864	0.981062390639285
76582	-0.0384234016180742	6.11343972945919	0.760694330879851	0.383111320902753	0.981062390639285
66980	-0.0557362744471114	4.75416754157522	0.760607902995867	0.38313834790647	0.981062390639285
66136	0.0778861223633972	3.4924770906588	0.760559475093284	0.383153493056248	0.981062390639285
22142	-0.0865918488372186	6.76369759092222	0.760346681699332	0.383220051277958	0.981062390639285
17309	-0.0324837404728861	7.69615040193032	0.76033622258526	0.383223323136984	0.981062390639285
67488	0.0382223077938927	6.47723232734259	0.760286135015866	0.383238992266141	0.981062390639285
333050	0.0849606129542471	5.02679383824086	0.760279975581962	0.383240919213459	0.981062390639285
545622	0.0493104851362146	6.62026120490769	0.76013497053018	0.383286287270135	0.981062390639285
107448	-0.0473076206539456	6.92907089024142	0.760053419929216	0.383311805536512	0.981062390639285
68895	-0.138623762514284	1.48750677662487	0.759872752818062	0.383368347258526	0.981062390639285
70294	0.0478172452632026	5.92217313717368	0.759765069368017	0.38340205358308	0.981062390639285
320795	0.0513940870785246	5.66906895878046	0.759361714587071	0.383528346261471	0.981062390639285
107003	0.186054115700829	0.458062304423199	0.759226700316214	0.383570633181686	0.981062390639285
26372	-0.0488001864061406	6.03739608432341	0.759099521335912	0.383610472113167	0.981062390639285
20818	0.0501253987977849	5.16584844121537	0.758978884744733	0.383648267061071	0.981062390639285
208146	-0.050727574098754	5.81407509675487	0.758971029019413	0.383650728410733	0.981062390639285
666295	0.11483228153801	1.73213876477862	0.758533689590231	0.383787790610784	0.981062390639285
330544	-0.0658047098200551	5.42529988458344	0.758496550456337	0.383799433218126	0.981062390639285
320560	-0.0418951319265424	6.33366251844002	0.758002910284256	0.383954230240131	0.981062390639285
15388	0.0386837616565305	7.00509218737067	0.757936094217144	0.383975189412189	0.981062390639285
67338	-0.0882306005855578	3.3539152296115	0.757771323563814	0.384026882371883	0.981062390639285
227292	0.0806247258947288	3.99198002597027	0.757760639805689	0.384030234493514	0.981062390639285
11733	-0.0523839253687923	6.20392803605499	0.75760767130142	0.38407823424184	0.981062390639285
75740	0.108008653428067	2.16798397861024	0.757423790008776	0.384135945339739	0.981062390639285
73689	0.0737517660080048	3.5962809944453	0.757281792511778	0.384180519643825	0.981062390639285
77059	-0.272193668781519	0.686367855233693	0.756818101253995	0.384326127701459	0.981062390639285
224814	-0.0676152607978682	3.93483273615771	0.756693611839099	0.384365233139097	0.981062390639285
74246	0.0726463761290852	3.61175964155434	0.75659796283494	0.384395282875356	0.981062390639285
94185	-0.0500054181102441	6.44134109570679	0.756540085075738	0.384413467762928	0.981062390639285
20193	0.0704207179463209	4.94467331980395	0.756374167024642	0.384465605114643	0.981062390639285
216877	0.0441621991732363	5.735427688145	0.756135011812699	0.384540773861284	0.981062390639285
68021	0.0635228974100324	4.21684747214441	0.756060846664022	0.384564088910373	0.981062390639285
381823	-0.157377564896659	1.8757268194751	0.755943863919738	0.384600868465488	0.981062390639285
77097	0.0458120359867527	8.02182454933424	0.755558914943087	0.384721932302678	0.981062390639285
22247	-0.0600037830899401	4.33499118765659	0.755408755064054	0.384769171244217	0.981062390639285
381813	0.0478124135364814	6.50433342302021	0.753779732213163	0.385282177365541	0.981062390639285
75079	0.0848558589717792	3.31909179625839	0.753540475648128	0.385357605081396	0.981062390639285
93692	0.0591310592248912	4.9248271768848	0.75344459808713	0.385387837211005	0.981062390639285
67563	0.0572478963436477	4.81978675144365	0.753224949951599	0.385457109416303	0.981062390639285
12259	0.070943078044251	5.23257145310065	0.752647614483964	0.385639272835285	0.981062390639285
433931	-0.0746773504513409	4.3372319976677	0.752477881242934	0.385692851105516	0.981062390639285
14813	-0.0599504680307761	5.91375843732166	0.752432589150601	0.385707149870811	0.981062390639285
75619	-0.0597579822670172	4.11396921297735	0.752101057399996	0.385811837792381	0.981062390639285
94044	-0.0408114768374438	5.86802535320682	0.75189648544951	0.385876455735475	0.981062390639285
67728	-0.0860042815277834	3.55006203660896	0.751709547962225	0.385935516965198	0.981062390639285
16517	0.0652442245703822	4.55091480344274	0.751474077232686	0.386009930149396	0.981062390639285
71472	0.0383505989241031	7.52165940976048	0.751100570103421	0.386128007327957	0.981062390639285
67914	0.0407179766052783	5.68915882400429	0.751085129116504	0.386132889809015	0.981062390639285
70059	-0.0971689159693049	2.87683714423661	0.750965728392911	0.386170647602295	0.981062390639285
14814	-0.0720828522892472	3.61088092295387	0.750839945957916	0.386210429153391	0.981062390639285
68128	0.074227572159626	3.74003938480535	0.750814974109105	0.386218327761696	0.981062390639285
104885	-0.0387999568175279	6.91336162800174	0.750570920735841	0.386295534074632	0.981062390639285
207607	0.145561396425064	1.02659039594329	0.750356110735309	0.386363507427134	0.981062390639285
228139	-0.137478279435477	1.38638635054126	0.750089761221172	0.38644781332699	0.981062390639285
