	KOCTRL	WTCTRL	logFC	logCPM	F	PValue	FDR
235626	3398.52174303418	3293.83572085564	0.0412920930270835	6.49960553329481	1.31601893966327	0.257803903115247	0.846550275181012
76338	1439.54049021883	1450.75112641066	-0.0323845669390355	5.30018699754556	1.31523433472737	0.257943671348618	0.846550275181012
225888	2158.75458485843	2194.73860121696	-0.0312520859845624	5.97749185298776	1.31509178378274	0.257969075458786	0.846550275181012
72022	179.761479883709	167.686814239224	0.0896479497150159	2.17615192083019	1.31475584516462	0.258028955887336	0.846550275181012
58212	1960.65308273673	2001.95216655598	-0.0472185915771466	5.93190673467347	1.31538052089286	0.258039983401786	0.846550275181012
12015	652.074126689694	640.747410589636	0.0539313683736886	4.14171018516547	1.31450273784191	0.258074083442991	0.846550275181012
58200	3132.42708516887	3202.9305495558	-0.0377486131555989	6.35876115778354	1.31432976053076	0.258104930047114	0.846550275181012
67138	928.217931656364	957.518283474733	-0.0394497983095464	4.59383742794201	1.31379117818769	0.258201004034237	0.846550275181012
382030	1025.3740013931	1069.96777006787	-0.040592117534755	4.91408455114056	1.31373829077855	0.258210440700967	0.846550275181012
56724	1400.56343275207	1442.37593818412	-0.0385302047026075	5.38086238049998	1.31346778468585	0.258258713775888	0.846550275181012
65079	3643.92701067306	3616.76371316034	0.0363303694324913	6.58748961795555	1.31206670976257	0.258508925520651	0.846681789141727
56794	168.506172690175	158.999627119486	0.0788565951223583	2.02234830116484	1.31191417324349	0.258536184909834	0.846681789141727
68730	1078.45265335705	1063.85776732893	0.0282239684095205	4.95337870608055	1.31186375816854	0.258545195253955	0.846681789141727
330260	1699.20219960912	1697.45375871828	-0.0447951556889628	5.60456621217198	1.31172472401842	0.258570045949462	0.846681789141727
15936	192.59650314212	161.806606814024	0.162824111617979	2.36486169836633	1.31839966363849	0.258628273998014	0.846681789141727
107702	945.345608865477	927.062678365651	0.0474772825656573	4.67321597438646	1.31114791228559	0.258673176556143	0.846681789141727
20595	456.077664778529	446.602933480898	0.0383595779412506	3.69767423064212	1.31066261669836	0.258759985058707	0.846681789141727
18791	1074.28154670085	967.313891673585	0.0724449601533242	5.06856921164054	1.31542224449537	0.258764973200634	0.846681789141727
12649	49.2801583608927	52.5493811014249	-0.130573983759749	0.670858290938329	1.30978866860028	0.258916408090792	0.846873786073203
23984	3782.1697487329	3300.0401505674	0.164336433411545	6.90298775197359	1.32053411148391	0.258955613316719	0.846873786073203
20913	882.90680374875	885.632143436938	-0.0368891126237927	4.71204909663738	1.30922693186906	0.259017013570622	0.846873786073203
75291	129.679087590303	124.109383728271	0.0690831468289744	1.90888377381436	1.30863385254348	0.259123286305146	0.846873786073203
69226	381.851605608206	394.801340276388	-0.0497996234165724	3.49924752217558	1.30838354390774	0.259168155242462	0.846873786073203
207425	2131.66631638271	2094.53157419076	0.0292896113736492	5.82430052321349	1.30835108081351	0.259173975119496	0.846873786073203
