	GeneID	Chr	Symbol	NExons	P.Value	FDR
52490	11992	13	Auh	10	0.966026983060838	1
27252	14394	11	Gabra1	10	0.966028050055071	1
105791	76467	2	Msrb2	5	0.966037412464928	1
155023	231600	5	Chfr	18	0.966055651025377	1
35090	67888	11	Tmem100	3	0.966070301836473	1
132673	18749	3	Prkacb	13	0.966088672155491	1
189687	20911	8	Stxbp2	19	0.966118538232438	1
101650	667373	19	Ifit1bl1	3	0.966168287147682	1
197259	234678	8	D230025D16Rik	16	0.96617099275424	1
71188	74369	15	Mei1	31	0.966179153690464	1
144179	212647	4	Aldh4a1	15	0.966298269643222	1
194569	16795	8	Large1	15	0.966330206001358	1
184076	12426	7	Cckbr	5	0.966335900488091	1
95934	108123	18	Napg	12	0.966344225911726	1
18540	20203	10	S100b	3	0.966376453030146	1
32462	97761	11	Sgsm2	23	0.966396370715882	1
76502	26462	16	Txnrd2	18	0.96639761852232	1
156688	19415	5	Rasal1	22	0.966412263397995	1
29465	237781	11	Mief2	4	0.966427605807606	1
11233	16579	1	Kifap3	21	0.966429284039694	1
43864	12632	12	Cfl2	4	0.966446338955344	1
193798	75620	8	Kxd1	5	0.966466203130251	1
79943	68146	16	Arl13b	10	0.9664778056523	1
71962	223775	15	Pim3	6	0.966507807667161	1
19309	15166	10	Hcn2	8	0.966513068078145	1
41491	68837	11	Foxk2	9	0.966535522852471	1
183113	72184	7	Klhl35	7	0.966551428178154	1
198461	13680	8	Ddx19a	12	0.966554289350089	1
97842	110355	19	Grk2	22	0.966559383501535	1
29813	20185	11	Ncor1	47	0.966630762031071	1
152258	21982	5	Tmem165	6	0.966648155947455	1
204856	270162	9	Elmod1	11	0.966648984488172	1
82205	224530	17	Acat3	9	0.966665745617441	1
37331	19192	11	Psme3	11	0.966676478790165	1
158905	18984	5	Por	16	0.966687534483573	1
93162	68591	18	Mocos	15	0.966711493759416	1
80339	11820	16	App	18	0.96671696232149	1
30619	237823	11	Pfas	28	0.966768747300526	1
76447	94223	16	Dgcr8	14	0.966786217685202	1
76880	21762	16	Psmd2	21	0.966789734941311	1
149763	71101	5	Uvssa	14	0.966841785462475	1
64012	213484	14	Nudt18	3	0.966853970091016	1
198496	234734	8	Aars	21	0.96685988009662	1
114215	16492	2	Kcna4	2	0.96686251950758	1
151207	319216	5	4932441J04Rik	5	0.966878077017224	1
68150	68537	15	Mrpl13	7	0.96687812198868	1
9830	226499	1	BC003331	14	0.966902167058277	1
15779	52665	10	Echdc1	7	0.966904340824645	1
180327	20430	7	Cyfip1	33	0.966908990401545	1
66234	71175	15	Nipbl	47	0.966929463653478	1
67824	319613	15	Sybu	9	0.966940356771921	1
74728	18574	15	Pde1b	16	0.96700359591797	1
172881	81905	7	Cacng8	4	0.967010111849566	1
108375	241303	2	Fam78a	2	0.967082386645494	1
170535	30853	6	Mlf2	9	0.967146872951656	1
194360	170938	8	Zfp617	4	0.967150137254703	1
101664	240638	19	Slc16a12	7	0.967160434810849	1
119924	266692	2	Cpne1	17	0.967200398967445	1
47246	217835	12	Rin3	11	0.967210005035218	1
3520	72750	1	Fam117b	8	0.96725992557315	1
111382	228026	2	Pdk1	11	0.967270507890467	1
162671	68272	6	Rbm28	19	0.967271770898027	1
104990	71648	2	Optn	15	0.967277892493777	1
27841	103534	11	Mgat4b	15	0.96731102654071	1
142510	19273	4	Ptpru	31	0.96731719406627	1
122530	18216	2	Ntsr1	4	0.967319418343917	1
146341	15208	4	Hes5	3	0.967332335642975	1
38473	19184	11	Psmc5	11	0.967344627173521	1
161186	24109	5	Ubl3	5	0.96736763534825	1
108903	227746	2	Rabepk	8	0.967370628744209	1
83117	224613	17	Flywch1	7	0.967422074950053	1
7168	52392	1	D1Ertd622e	3	0.967449706542644	1
57828	71147	14	Oxsm	3	0.967483153346809	1
25375	12323	11	Camk2b	23	0.967539112527849	1
118952	76650	2	Srxn1	2	0.967542526053471	1
109730	74194	2	Rnd3	5	0.967609534336793	1
44672	94090	12	Trim9	15	0.967615018515558	1
120850	58231	2	Stk4	11	0.967617044656348	1
97779	19367	19	Rad9a	11	0.967625733666793	1
197906	21771	8	Utp4	17	0.96763188350323	1
25470	52915	11	Zmiz2	20	0.967639501762898	1
36535	19401	11	Rara	12	0.967721003462403	1
93266	225326	18	Pik3c3	25	0.967752182574578	1
32789	116972	11	Fam57a	5	0.967808408762325	1
17679	72320	10	Kif1bp	7	0.967809931465096	1
51371	73102	13	Slc22a23	11	0.967818328632939	1
82216	100502686	17	Gm15946	2	0.967822711825434	1
140666	17480	4	Mpl	12	0.967849229455208	1
186329	104175	7	Sbk1	4	0.967877375853506	1
213670	73447	X	Wdr13	9	0.967878581182994	1
32846	237858	11	Tusc5	3	0.967894229403924	1
183970	319236	7	Trim12c	8	0.967906040825977	1
17965	13654	10	Egr2	2	0.967912943873318	1
200113	14712	8	Gnpat	16	0.967924486358709	1
89074	63993	17	Slc5a7	9	0.967963412721789	1
180863	68981	7	Snrpa1	9	0.967970046600004	1
29247	19416	11	Rasd1	2	0.967988653441873	1
120625	19281	2	Ptprt	30	0.967997308851497	1
129705	433638	3	I830077J02Rik	6	0.968024078490677	1
6006	227331	1	Gigyf2	29	0.968054951942217	1
14573	67418	10	Ppil4	13	0.968057829403089	1
27115	20564	11	Slit3	36	0.968065349647996	1
70949	207911	15	Mchr1	2	0.968146991845493	1
19851	216169	10	Abhd17a	5	0.968157092593103	1
212150	68292	9	Stt3b	16	0.968173140843758	1
142659	19204	4	Ptafr	2	0.968184800645753	1
204465	30057	9	Timm8b	2	0.968210869595321	1
122817	269400	2	Rtel1	34	0.968235868115175	1
172675	330450	6	Far2	13	0.968254669404083	1
35397	98238	11	Lrrc59	7	0.968259867366997	1
59158	23955	14	Nek4	15	0.968331740231256	1
129852	16490	3	Kcna2	3	0.968396576368567	1
47260	19141	12	Lgmn	14	0.968410527781611	1
177341	233071	7	Arhgap33	22	0.968413815417658	1
121463	110750	2	Cse1l	25	0.968423834459167	1
126683	246703	3	Naxe	6	0.968458874042934	1
163419	243755	6	Slc13a4	16	0.96846446608052	1
79818	12892	16	Cpox	7	0.968500568474706	1
205892	67557	9	Larp6	3	0.96852599091489	1
187082	67773	7	Kat8	11	0.96856702285803	1
164505	77827	6	Krba1	18	0.968567413751921	1
66032	18414	15	Osmr	18	0.968568771315968	1
105615	277468	2	Slc39a12	13	0.968573237973968	1
157768	243272	5	Sbno1	32	0.968586756268805	1
150533	75079	5	Zbtb49	8	0.968656687186646	1
13042	208768	1	Sde2	7	0.968728632849634	1
30107	66358	11	Adprm	5	0.968736770823912	1
41268	217366	11	Lrrc45	18	0.96875434209646	1
102705	319740	19	Zfyve27	13	0.968771211800721	1
21699	215008	10	Vezt	12	0.968789504974515	1
90562	78785	17	Clip4	17	0.968805370193777	1
113084	19182	2	Psmc3	12	0.968822978945146	1
52212	76895	13	Bicd2	7	0.968970298076344	1
94486	24066	18	Spry4	2	0.968972199428893	1
186872	233895	7	Prr14	11	0.968997206521633	1
121510	98999	2	Znfx1	14	0.969003533340126	1
193784	12931	8	Crlf1	9	0.969022294658265	1
214970	11740	X	Slc25a5	4	0.969036432113284	1
179487	12036	7	Bcat2	14	0.969047362599479	1
143128	74777	4	Selenon	12	0.969049133649057	1
67154	15473	15	Rida	6	0.969069956225587	1
112648	241528	2	Lrrc55	3	0.969070651917263	1
51720	108934	13	Smim13	2	0.969078459910805	1
188596	101471	7	Phrf1	18	0.96908263743555	1
44696	319710	12	Frmd6	14	0.969092838486755	1
172900	66091	7	Ndufa3	4	0.96912384357258	1
166565	57377	6	Mogs	4	0.969126268058088	1
13590	107508	1	Eprs	32	0.969143074672753	1
134112	242362	4	Manea	5	0.96922423417742	1
14180	12490	1	Cd34	8	0.96922922629231	1
123728	80732	3	Mynn	8	0.969246478911612	1
89673	66972	17	Slc25a23	10	0.969250837597557	1
23713	14632	10	Gli1	13	0.969264433694402	1
