	GeneID	Chr	Symbol	NExons	P.Value	FDR
121939	56491	2	Vapb	6	0.814792062014687	1
208220	108837	9	Ibtk	29	0.814865018749611	1
118625	17064	2	Cd93	2	0.814928789113723	1
100859	72351	19	Ptar1	7	0.814975706393728	1
186423	20399	7	Sh2b1	10	0.815127175805217	1
67551	68588	15	Cthrc1	4	0.815147479294108	1
154719	13486	5	Dr1	3	0.815269278976057	1
160779	71799	5	Ptcd1	9	0.815287683745037	1
23296	216395	10	Tmem5	6	0.815299106543942	1
43116	19088	12	Prkar2b	11	0.815380502669783	1
174534	26436	7	Psg16	5	0.815410715486655	1
104993	74186	2	Ccdc3	3	0.815411573897181	1
108371	227720	2	Nup214	36	0.815440870065094	1
164228	12723	6	Clcn1	23	0.815541439733967	1
33774	69077	11	Psmd11	14	0.815556843386291	1
23501	100504703	10	A730063M14Rik	2	0.815626103602422	1
172877	81904	7	Cacng7	5	0.8156433622667	1
207232	235469	9	Zfp280d	22	0.815720233139678	1
8649	240752	1	Pik3c2b	33	0.815720816426877	1
214265	382207	X	Jade3	10	0.815733157984321	1
17762	73132	10	Slc25a16	9	0.815750350044122	1
18171	216080	10	Ube2d1	7	0.815759302371905	1
196599	114255	8	Dok4	9	0.815921275522986	1
151465	79464	5	Lias	11	0.815939934660184	1
43992	59032	12	Ppp2r3c	14	0.816061308168883	1
83038	386612	17	Thoc6	13	0.816149881555114	1
168211	66892	6	Eif4e3	7	0.816184627463847	1
221153	270672	X	Map3k15	29	0.81630652220289	1
157154	231724	5	Rad9b	11	0.816367278603046	1
21364	75089	10	Uhrf1bp1l	21	0.816388839134276	1
170535	30853	6	Mlf2	9	0.816497651477498	1
158760	194309	5	Vps37d	4	0.816546417317339	1
168879	108960	6	Irak2	13	0.816631112724878	1
193863	50783	8	Lsm4	5	0.81684879751662	1
151639	77569	5	Limch1	27	0.817095595796051	1
107172	227659	2	Slc2a6	10	0.817105111799136	1
25142	11764	11	Ap1b1	24	0.817134953402467	1
131380	13809	3	Enpep	20	0.81715496779979	1
130927	19299	3	Abcd3	23	0.817223301512494	1
207002	12175	9	Bnip2	11	0.817223662625953	1
149485	269639	5	Zfp512	14	0.817316907984677	1
135391	230103	4	Npr2	22	0.817342768505817	1
195727	74513	8	Neto2	9	0.817384936448395	1
13547	381314	1	Iars2	23	0.817400052810495	1
128458	226548	3	Aph1a	6	0.817448657775884	1
84345	68611	17	Mrpl28	5	0.817479739683008	1
166149	232087	6	Mat2a	9	0.817490278240411	1
84356	12005	17	Axin1	11	0.817694107569238	1
195822	66887	8	Lonp2	16	0.817743481227392	1
156104	11837	5	Rplp0	7	0.817750441030599	1
58018	105428	14	Fam149b	15	0.817762657296173	1
117549	16434	2	Itpa	8	0.817861705282344	1
9088	77552	1	Shisa4	5	0.817907424679125	1
201508	71766	9	Raver1	13	0.817936411956836	1
24471	74330	10	Dnajc14	7	0.818041163642894	1
34095	20308	11	Ccl9	4	0.818059587743905	1
96179	319888	18	Oacyl	15	0.818123985235952	1
51425	23986	13	Eci2	10	0.818214572825593	1
32123	195018	11	Zzef1	55	0.818220654406392	1
54033	69315	13	1700001L19Rik	3	0.818237853338489	1
8977	67196	1	Ube2t	7	0.818303845547602	1
88089	63959	17	Slc29a1	17	0.818323454944297	1
111333	100503424	2	NA	3	0.818327941326652	1
124813	22066	3	Trpc4	11	0.818358157267171	1
56485	77318	13	Ankrd55	13	0.818421685333032	1
155023	231600	5	Chfr	18	0.818496754893858	1
68468	223593	15	Washc5	29	0.818499525787556	1
1483	12859	1	Cox5b	4	0.818546917504655	1
144355	67680	4	Sdhb	8	0.818554529806944	1
74008	68118	15	Atg101	3	0.818561058235847	1
133465	320152	4	4930412C18Rik	4	0.818651887367663	1
131530	77018	3	Col25a1	39	0.818658643786689	1
112353	241514	2	Zfp804a	4	0.818743055103705	1
203725	80288	9	Bcl9l	9	0.818799263230306	1
176088	18223	7	Numbl	10	0.818801354733526	1
208288	109785	9	Pgm3	13	0.81887577708633	1
66032	18414	15	Osmr	18	0.818878896448222	1
28024	237759	11	Col23a1	29	0.8189689370708	1
144270	242726	4	Padi6	16	0.819189328342208	1
108921	66998	2	Psmd5	10	0.819262474792535	1
107703	18286	2	Odf2	23	0.819365180531089	1
42379	71853	12	Pdia6	13	0.81940925413247	1
82987	320020	17	6330415G19Rik	2	0.819488210779702	1
52262	18295	13	Ogn	7	0.819489131848012	1
15846	21987	10	Tpd52l1	7	0.819546007017257	1
131068	242202	3	Pde5a	21	0.819633191379694	1
25480	77605	11	H2afv	5	0.819710019493354	1
44869	104001	12	Rtn1	10	0.819755438992913	1
42276	18217	12	Ntsr2	4	0.819757680784082	1
127988	76742	3	Snx27	12	0.819785782613249	1
75634	106298	16	Rrn3	18	0.819910370882358	1
140397	140546	4	Eri3	9	0.81991908936828	1
160940	74132	5	Rnf6	8	0.819935898939195	1
81610	321007	17	Serac1	17	0.820032505632524	1
3355	227154	1	Stradb	12	0.820074863114779	1
77469	27281	16	Hrasls	4	0.82010991453437	1
149913	17122	5	Mxd4	6	0.82017250830707	1
70239	17972	15	Ncf4	10	0.82021504148842	1
74782	73261	16	1700037C18Rik	3	0.820332291150109	1
68644	13196	15	Asap1	31	0.820376183258007	1
220965	53381	X	Prdx4	7	0.820390234067031	1
137261	21898	4	Tlr4	3	0.820460237375073	1
107632	433416	2	Gm13547	4	0.820535136327765	1
121241	228876	2	Zfp334	5	0.820575430145132	1
82885	73233	17	Zfp942	6	0.82058242740686	1
27456	214112	11	Nipal4	6	0.820656234645844	1
3510	12168	1	Bmpr2	13	0.820694021776151	1
54701	13865	13	Nr2f1	3	0.820784346664612	1
11777	665574	1	Gm7694	3	0.820823151247436	1
195138	66929	8	Asf1b	4	0.820841671002781	1
37940	71059	11	Hexim2	3	0.820849723353097	1
167629	243538	6	Cfap100	17	0.820927408756786	1
89328	66905	17	Plin3	8	0.821075761945016	1
205975	71819	9	Kif23	23	0.821079620501507	1
122923	20672	2	Sox18	2	0.82108570428247	1
201934	77609	9	Ccdc151	13	0.821135810253964	1
208957	211586	9	Tfdp2	17	0.821164424353374	1
113408	17242	2	Mdk	6	0.821177605341592	1
46168	16997	12	Ltbp2	35	0.821182770408768	1
207071	93836	9	Rnf111	15	0.821208236961721	1
34359	448850	11	Znhit3	5	0.821276642985133	1
63844	219158	14	Ccar2	21	0.821316359294299	1
97990	12460	19	Ccs	8	0.821374518559206	1
122581	277353	2	Tcfl5	6	0.821377703022359	1
143257	78806	4	Stpg1	9	0.821537400791897	1
17368	74048	10	Vsir	7	0.821558076689357	1
22933	215436	10	Slc35e3	5	0.821586440880114	1
100933	226040	19	Tmem252	2	0.821626917129508	1
93031	319211	18	Nol4	12	0.821631643472359	1
87468	333715	17	H2-M10.2	5	0.821663996326606	1
189931	270028	8	Fam155a	3	0.821754294653078	1
117819	18538	2	Pcna	6	0.821822351984241	1
95905	328971	18	Spink10	9	0.821859400558834	1
33157	216971	11	Fam222b	3	0.821882328084408	1
97768	19045	19	Ppp1ca	7	0.821890351901908	1
220943	20229	X	Sat1	6	0.821957775300975	1
98005	56464	19	Ctsf	14	0.822071429978102	1
99612	66395	19	Ahnak	7	0.822088643241632	1
198810	80707	8	Wwox	9	0.822105952385719	1
131158	19142	3	Prss12	11	0.822136276075304	1
122317	66730	2	4921531C22Rik	2	0.822138108437687	1
130687	72776	3	Sass6	17	0.822151291136783	1
145294	11610	4	Agtrap	5	0.822216407974559	1
8489	18557	1	Cdk18	16	0.822254163961243	1
20329	102115	10	Dohh	5	0.822334603713953	1
216860	15929	X	Idh3g	13	0.822336534592497	1
141796	67785	4	Zmym4	30	0.82239487488193	1
82812	224585	17	Zfp160	5	0.822679299239962	1
140433	381546	4	Ccdc24	8	0.8227212789968	1
169778	12122	6	Bid	6	0.822762016356947	1
164892	71982	6	Snx10	8	0.822776955699034	1
212195	207181	9	Rbms3	17	0.822877072628371	1
212425	17874	9	Myd88	6	0.822949747491236	1
77983	70144	16	Lrch3	21	0.822959557830548	1
131102	99526	3	Usp53	16	0.823009185520365	1
93800	225363	18	Etf1	11	0.823047587419174	1
46434	68737	12	Angel1	10	0.82306710349376	1
112572	269295	2	Rtn4rl2	3	0.823095057054118	1
180761	11784	7	Apba2	15	0.823111597627939	1
30006	26398	11	Map2k4	11	0.823157304906524	1
99387	107071	19	Wdr74	11	0.823161744607284	1
36888	66180	11	P3h4	8	0.823188067726738	1
200909	66070	9	Cwc15	7	0.823416627497188	1
124036	320478	3	Sox2ot	5	0.823441649602975	1
101246	67759	19	Plgrkt	6	0.823508210720558	1
125292	72162	3	Dhx36	25	0.823518611672857	1
141317	56309	4	Mycbp	5	0.823586922321134	1
54243	218335	13	Clptm1l	17	0.823620703697076	1
185861	80719	7	Igsf6	6	0.823697613682814	1
145465	230908	4	Tardbp	6	0.82371170437982	1
191665	114863	8	Plpbp	8	0.823801880389646	1
129431	99543	3	Olfml3	3	0.823813848176813	1
215868	72865	X	Rtl8c	2	0.823824393046637	1
174790	72205	7	Eml2	19	0.823836949452496	1
173633	232855	7	Zfp772	5	0.823980149882655	1
33433	69071	11	Tmem97	3	0.82400971795388	1
102473	24087	19	Tll2	21	0.824145496433297	1
29881	94092	11	Trim16	6	0.824166679624964	1
148521	66993	5	Smarcd3	13	0.82417998276989	1
189616	50767	8	Pnpla6	35	0.824219167862909	1
81728	100040654	17	Gm2885	2	0.824221556912123	1
98652	73166	19	Tm7sf2	10	0.82427751098002	1
121948	228960	2	Stx16	9	0.82436318265788	1
