	GeneID	Chr	Symbol	NExons	P.Value	FDR
137703	242509	4	Bnc2	6	0.0574568320692677	1
15783	68031	10	Rnf146	4	0.0575405899024485	1
162693	69573	6	Hilpda	3	0.057666257148949	1
102452	226115	19	Opalin	6	0.0577345973728901	1
109139	74410	2	Ttll11	10	0.0578272379446196	1
124635	26570	3	Slc7a11	12	0.0580706086828214	1
14587	68652	10	Tab2	7	0.05840291648149	1
50402	19720	13	Trim27	8	0.0585131714025059	1
27931	214779	11	Zfp879	5	0.0590936060941755	1
6497	51801	1	Ramp1	5	0.0591399283318983	1
116655	69185	2	Dtwd1	5	0.0594863282158596	1
20068	208666	10	Diras1	2	0.0596272642969468	1
89997	381107	17	Tmem232	15	0.0596755821474669	1
170987	68498	6	Tspan11	8	0.0604541518563726	1
83644	27361	17	Msrb1	5	0.0605612164933155	1
73901	207839	15	Galnt6	13	0.0606264473370632	1
193681	234374	8	Ddx49	13	0.0614952639484549	1
13805	226830	1	Smyd2	12	0.0615676967207822	1
32567	20317	11	Serpinf1	8	0.061679677268113	1
168236	72171	6	Shq1	11	0.0620752541151112	1
133266	56711	4	Plag1	6	0.0624319475128858	1
226	170755	1	Sgk3	19	0.0627222617934783	1
134551	100504309	4	Smim27	2	0.0630065558487188	1
119043	19700	2	Rem1	5	0.0633039131611431	1
15549	70208	10	Med23	30	0.0634901350883046	1
145887	230935	4	Dnajc11	16	0.0635108413839601	1
40003	217335	11	Fbf1	31	0.0636419072648866	1
84951	433091	17	Pnpla1	10	0.0636909540693287	1
133503	60599	4	Trp53inp1	5	0.0639654614827671	1
10325	19734	1	Rgs16	5	0.0640470726262351	1
212279	100039768	9	1700024F20Rik	2	0.0642253054205945	1
215846	78755	X	Fam122b	9	0.0643266730352652	1
95104	15488	18	Hsd17b4	24	0.0644795823331383	1
166162	71130	6	Sh2d6	12	0.064751413814686	1
211449	72831	9	Dhx30	24	0.0650298084774508	1
168612	14910	6	Gt(ROSA)26Sor	3	0.065209464273309	1
38670	16647	11	Kpna2	11	0.0652476448853487	1
18437	14872	10	Gstt2	5	0.0662595285753678	1
195086	68278	8	Ddx39	11	0.0663406183465	1
24379	13867	10	Erbb3	28	0.066352011931663	1
65115	64929	14	Scel	31	0.0667822971944865	1
152437	19712	5	Rest	4	0.0668184948651651	1
208236	70348	9	Ube2cbp	10	0.0668615359340602	1
129542	99470	3	Magi3	22	0.0670022364077019	1
79199	208177	16	Phldb2	19	0.0670433309087979	1
64677	66897	14	Naa16	20	0.0671453927307605	1
49407	105387	13	Akr1c14	9	0.0677392023849907	1
194844	15245	8	Hhip	13	0.0679353262023378	1
5531	80721	1	Slc19a3	7	0.067992207373899	1
113601	11695	2	Alx4	4	0.0681952579911347	1
201921	71746	9	Rgl3	19	0.0685244521242861	1
12261	16513	1	Kcnj10	2	0.0690364435670789	1
32949	237860	11	Ssh2	15	0.0691765166730892	1
114149	18508	2	Pax6	16	0.0693217653342118	1
1139	213539	1	Bag2	3	0.0696894966841684	1
123552	22035	3	Tnfsf10	5	0.0704073927482341	1
84367	69191	17	Pdia2	11	0.0712556744477041	1
44456	11845	12	Arf6	2	0.0714661045558668	1
99595	70044	19	Tut1	9	0.0717049596257401	1
85776	170716	17	Cyp4f13	13	0.0720922420062084	1
50882	195208	13	Dcdc2a	11	0.0721212655303746	1
